1960,$0.291,
1961,$.285,
1962,$.285,
1963,$.291,
1964,$.300,
1965,$.301,
1966,$.310,
1967,$.312,
1968,$.318,
1969,$.332,
1970,$.339,
1971,$.360,
1972,$.360,
1973,$.475,
1974,$.935,
1975,$1.221,
1976,$1.310,
1977,$1.440,
1978,$1.495,
1979,$2.510,
1980,$3.742,
1981,$3.575,
1982,$3.183,
1983,$2.908,
1984,$2.875,
1985,$2.692,
1986,$1.444,
1987,$1.775,
1988,$1.487,
1989,$1.833,
1990,$2.319,
1991,$2.020,
1992,$1.925,
1993,$1.675,
1994,$1.566,
1995,$1.675,
1996,$2.046,
1997,$1.864,
1998,$1.191,
1999,$1.656,
2000,$2.739,
2001,$2.300,
2002,$2.281,
2003,$2.769,
2004,$3.766,
2005,$5.004,
2006,$5.830,
2007,$6.420,
2008,$9.148,
2009,$5.348,
2010,$7.121,
2011,$8.704,
2012,$8.646,
2013,$9.117,
2014,$8.560,
2015,$4.185,
2016,$3.634,
